"job_id","STC","rack_address","port_x_m","port_y_m","port_z_m","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed","port_route","fem_case"
"STC1/out-25","1","STC01-A-023-05","0","0","-1.2","out","2052.4302450327996","2474.7439658485255","2532.120132152455","422.3137208157259","479.6898871196554","out","true","20260909","CASE1","1"
"STC1/in-26","1","STC01-A-021-10","0","0","-1.2","in","2133.5246772279165","2532.120132152455","2568.9962984563845","398.59545492453844","435.47162122846794","dc","true","20260909","CASE2","2"
"STC1/out-26","1","STC01-B-011-04","60","0","-1.2","out","2132.2802993362498","2532.120132152455","2617.372464760314","399.8398328162052","485.0921654240642","dc","true","20260909","CASE2","2"
"STC1/out-27","1","STC01-A-020-02","0","10","-1.2","out","2223.2164467924404","2643.372464760314","2696.7486310642435","420.1560179678736","473.5321842718031","out","true","20260909","CASE3","3"
"STC1/in-28","1","STC01-A-006-02","30","0","-1.2","in","2308.2312422950886","2696.7486310642435","2740.4581307015064","388.5173887691549","432.22688840641786","dc","true","20260909","CASE4","4"
"STC1/out-28","1","STC01-A-026-03","30","0","-1.2","out","2315.8000680298674","2696.7486310642435","2787.6676303387694","380.9485630343761","471.86756230890205","dc","true","20260909","CASE4","4"
"STC1/in-27","1","STC01-A-019-06","0","10","-1.2","in","2224.9856252050295","2787.6676303387694","2837.3771299760324","562.68200513374","612.3915047710029","in","true","20260909","CASE3","3"
"STC1/in-29","1","STC01-A-010-07","0","0","-1.2","in","2387.826792142753","2855.710463309366","2899.0866296132954","467.88367116661266","511.25983747054215","in","true","20260909","CASE5","5"
"STC1/in-30","1","STC01-A-026-08","0","10","-1.2","in","2466.4343985835358","2914.5866296132954","2965.462795917225","448.1522310297596","499.0283973336891","dc","true","20260909","CASE6","6"
"STC1/out-30","1","STC01-A-020-09","0","0","-1.2","out","2498.1474980006788","2914.5866296132954","3009.7197937408014","416.4391316126166","511.5722957401226","dc","true","20260909","CASE6","6"
"STC1/out-29","1","STC01-A-024-09","0","10","-1.2","out","2404.4290015553784","3022.2197937408014","3080.929293378064","617.790792185423","676.5002918226855","out","true","20260909","CASE5","5"
"STC1/in-31","1","STC01-B-015-03","0","0","-1.2","in","2553.550684249827","3080.929293378064","3124.47212634866","527.3786091282368","570.9214420988328","dc","true","20260909","CASE1","1"
"STC1/out-31","1","STC01-A-030-07","0","0","-1.2","out","2590.914752311738","3080.929293378064","3181.014959319256","490.0145410663258","590.1002070075178","dc","true","20260909","CASE1","1"
"STC1/in-32","1","STC01-B-012-10","0","0","-1.2","in","2647.1078591461164","3181.014959319256","3217.8911256231854","533.9071001731395","570.783266477069","in","true","20260909","CASE2","2"
"STC1/out-32","1","STC01-B-027-09","60","0","-1.2","out","2673.338752885216","3239.3911256231854","3297.9339585937814","566.0523727379696","624.5952057085656","out","true","20260909","CASE2","2"
"STC1/in-33","1","STC01-A-027-07","0","10","-1.2","in","2730.6196043600467","3297.9339585937814","3362.9767915643774","567.3143542337348","632.3571872043308","dc","true","20260909","CASE3","3"
"STC1/out-33","1","STC01-A-010-06","0","10","-1.2","out","2757.48250260683","3297.9339585937814","3407.519624534974","540.4514559869513","650.0371219281437","dc","true","20260909","CASE3","3"
"STC1/in-34","1","STC01-A-010-10","30","0","-1.2","in","2810.0713762813916","3407.519624534974","3460.3957908389034","597.4482482535823","650.3244145575118","in","true","20260909","CASE4","4"
"STC1/in-35","1","STC01-A-022-02","0","0","-1.2","in","2888.020615476583","3481.8957908389034","3533.6052904761664","593.8751753623205","645.5846749995835","dc","true","20260909","CASE5","5"
"STC1/out-35","1","STC01-B-009-01","0","10","-1.2","out","2924.3167533499322","3481.8957908389034","3574.814790113429","557.5790374889712","650.4980367634967","dc","true","20260909","CASE5","5"
