"job_id","STC","rack_address","port_x_m","port_y_m","port_z_m","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed","port_route","fem_case"
"STC1/out-17","1","STC01-B-021-10-D1","0","0","-1.2","out","1365.8089496607759","1385.5199175810028","1474.7722501888618","19.71096792022695","108.96330052808594","dc","true","20260909","BASE","1"
"STC1/in-18","1","STC01-B-021-03-D1","0","0","-1.2","in","1444.5110404584557","1474.7722501888618","1509.815083159458","30.261209730406108","65.30404270100234","dc","true","20260909","BASE","1"
"STC1/out-18","1","STC01-A-001-05-D2","0","0","-1.2","out","1454.8587384367627","1474.7722501888618","1560.857916130054","19.91351175209911","105.99917769329136","dc","true","20260909","BASE","1"
"STC1/in-19","1","STC01-B-025-02-D1","0","0","-1.2","in","1533.0029831321112","1560.857916130054","1598.5674157673168","27.854932997942797","65.56443263520555","dc","true","20260909","BASE","1"
"STC1/out-19","1","STC01-B-024-09-D1","0","0","-1.2","out","1544.082282756322","1560.857916130054","1651.610248737913","16.775633373732035","107.52796598159102","dc","true","20260909","BASE","1"
"STC1/in-20","1","STC01-B-001-09-D1","0","0","-1.2","in","1627.2103978374175","1651.610248737913","1686.4864150418425","24.399850900495494","59.27601720442499","dc","true","20260909","BASE","1"
"STC1/out-20","1","STC01-B-027-03-D1","0","0","-1.2","out","1623.576401453465","1651.610248737913","1748.362581345772","28.03384728444803","124.78617989230702","dc","true","20260909","BASE","1"
"STC1/in-21","1","STC01-B-020-09-D1","0","0","-1.2","in","1714.291044932657","1748.362581345772","1783.2387476497015","34.07153641311493","68.94770271704442","dc","true","20260909","BASE","1"
"STC1/out-21","1","STC01-B-010-02-D1","0","0","-1.2","out","1705.319663038743","1748.362581345772","1826.9482472869643","43.04291830702891","121.62858424822116","dc","true","20260909","BASE","1"
"STC1/in-22","1","STC01-B-027-05-D1","0","0","-1.2","in","1796.376132180116","1826.9482472869643","1865.9910802575605","30.572115106848287","69.61494807744452","dc","true","20260909","BASE","1"
"STC1/out-22","1","STC01-B-025-01-D2","0","0","-1.2","out","1788.0645819141394","1826.9482472869643","1919.0339132281565","38.88366537282491","130.96933131401715","dc","true","20260909","BASE","1"
"STC1/in-23","1","STC01-A-024-01-D1","0","0","-1.2","in","1873.8007435734783","1919.0339132281565","1956.0767461987527","45.23316965467825","82.27600262527449","dc","true","20260909","BASE","1"
"STC1/out-23","1","STC01-B-027-03-D2","0","0","-1.2","out","1877.0283758041578","1919.0339132281565","2007.086162083393","42.0055374239987","130.0577862792352","dc","true","20260909","BASE","1"
"STC1/in-24","1","STC01-A-012-07-D1","0","0","-1.2","in","1952.3725335552756","2007.086162083393","2037.9623283873225","54.7136285281174","85.58979483204689","dc","true","20260909","BASE","1"
"STC1/out-24","1","STC01-A-007-03-D2","0","0","-1.2","out","1959.794101716418","2007.086162083393","2078.93570703517","47.292060366974965","119.14160531875177","dc","true","20260909","BASE","1"
"STC1/in-25","1","STC01-B-026-09-D1","0","0","-1.2","in","2041.7742392700166","2078.93570703517","2117.3118733390993","37.16146776515325","75.53763406908274","dc","true","20260909","BASE","1"
"STC1/out-25","1","STC01-B-023-03-D2","0","0","-1.2","out","2052.4302450327996","2078.93570703517","2173.0213729763623","26.505462002370223","120.5911279435627","dc","true","20260909","BASE","1"
"STC1/in-26","1","STC01-A-021-06-D1","0","0","-1.2","in","2133.5246772279165","2173.0213729763623","2208.0642059469583","39.496695748445745","74.53952871904175","dc","true","20260909","BASE","1"
"STC1/out-26","1","STC01-B-030-08-D1","0","0","-1.2","out","2132.2802993362498","2173.0213729763623","2260.6070389175543","40.74107364011252","128.32673958130454","dc","true","20260909","BASE","1"
"STC1/in-27","1","STC01-A-006-06-D2","0","0","-1.2","in","2224.9856252050295","2260.6070389175543","2294.8165385548173","35.62141371252483","69.8309133497878","dc","true","20260909","BASE","1"
"STC1/out-27","1","STC01-A-006-07-D2","0","0","-1.2","out","2223.2164467924404","2260.6070389175543","2335.0260381920803","37.390592125113926","111.80959139963988","dc","true","20260909","BASE","1"
"STC1/in-28","1","STC01-A-019-01-D1","0","0","-1.2","in","2308.2312422950886","2335.0260381920803","2368.7355378293432","26.794795896991673","60.50429553425465","dc","true","20260909","BASE","1"
"STC1/out-28","1","STC01-B-030-09-D1","0","0","-1.2","out","2315.8000680298674","2335.0260381920803","2427.7783707999392","19.22597016221289","111.97830277007188","dc","true","20260909","BASE","1"
"STC1/in-29","1","STC01-A-011-05-D1","0","0","-1.2","in","2387.826792142753","2427.7783707999392","2456.1545371038687","39.95157865718602","68.32774496111551","dc","true","20260909","BASE","1"
"STC1/out-29","1","STC01-B-010-04-D1","0","0","-1.2","out","2404.4290015553784","2427.7783707999392","2487.8640367411317","23.349369244560876","83.43503518575335","dc","true","20260909","BASE","1"
"STC1/in-30","1","STC01-A-026-07-D1","0","0","-1.2","in","2466.4343985835358","2487.8640367411317","2526.240203045061","21.429638157595946","59.80580446152544","in","true","20260909","BASE","1"
"STC1/out-30","1","STC01-B-023-08-D2","0","0","-1.2","out","2498.1474980006788","2526.240203045061","2575.082952263035","28.092705044382456","76.93545426235642","out","true","20260909","BASE","1"
"STC1/in-31","1","STC01-B-015-08-D1","0","0","-1.2","in","2553.550684249827","2575.082952263035","2607.9591185669647","21.532268013208068","54.40843431713756","in","true","20260909","BASE","1"
"STC1/out-31","1","STC01-A-019-02-D1","0","0","-1.2","out","2590.914752311738","2607.9591185669647","2656.1686182042276","17.044366255226578","65.25386589248956","out","true","20260909","BASE","1"
"STC1/in-32","1","STC01-B-013-02-D1","0","0","-1.2","in","2647.1078591461164","2656.1686182042276","2685.8781178414906","9.060759058111216","38.770258695374196","in","true","20260909","BASE","1"
"STC1/out-32","1","STC01-A-017-03-D1","0","0","-1.2","out","2673.338752885216","2685.8781178414906","2726.413701007471","12.539364956274767","53.07494812225514","out","true","20260909","BASE","1"
"STC1/in-33","1","STC01-A-027-06-D1","0","0","-1.2","in","2730.6196043600467","2730.6196043600467","2769.6624373306427","0","39.04283297059601","in","true","20260909","BASE","1"
"STC1/out-33","1","STC01-B-011-03-D2","0","0","-1.2","out","2757.48250260683","2769.6624373306427","2820.038603634572","12.179934723812494","62.55610102774199","out","true","20260909","BASE","1"
"STC1/in-34","1","STC01-A-011-08-D2","0","0","-1.2","in","2810.0713762813916","2820.038603634572","2858.248103271835","9.967227353180533","48.17672699044351","in","true","20260909","BASE","1"
"STC1/out-34","1","STC01-A-025-06-D2","0","0","-1.2","out","2844.8581460903265","2858.248103271835","2916.624269575765","13.389957181508635","71.76612348543858","out","true","20260909","BASE","1"
"STC1/in-35","1","STC01-A-021-07-D2","0","0","-1.2","in","2888.020615476583","2916.624269575765","2957.0004358796946","28.603654099182222","68.97982040311172","in","true","20260909","BASE","1"
"STC1/out-35","1","STC01-A-014-05-D2","0","0","-1.2","out","2924.3167533499322","2957.0004358796946","3003.342391619338","32.683682529762336","79.02563826940559","out","true","20260909","BASE","1"
"STC1/in-36","1","STC01-A-013-08-D1","0","0","-1.2","in","2970.5824934757716","3003.342391619338","3036.2185579232673","32.75989814356626","65.63606444749576","in","true","20260909","BASE","1"
