"job_id","from","to","quantity","arrival_s","dispatch_s","complete_s","wait_s","lead_s","measurement_window","seed"
"J000062","S1","S2","1","4657.4284166505095","4668.014263028126","4714.514263028126","10.58584637761669","57.08584637761669","true","20260911"
"J000063","S1","S2","1","4734.100386755308","4742.680929694793","4789.180929694793","8.580542939484985","55.080542939484985","true","20260911"
"J000064","S1","S2","1","4807.3054499714635","4817.34759636146","4863.84759636146","10.04214638999656","56.54214638999656","true","20260911"
"J000065","S1","S2","1","4883.716858285479","4892.014263028127","4938.514263028127","8.297404742647814","54.797404742647814","true","20260911"
"J000066","S1","S2","1","4960.492057740921","4966.680929694794","5013.180929694794","6.1888719538728765","52.68887195387288","true","20260911"
"J000067","S1","S2","1","5035.375506626442","5041.347596361461","5087.847596361461","5.972089735018926","52.472089735018926","true","20260911"
"J000068","S1","S2","1","5103.498705705861","5116.014263028128","5162.514263028128","12.515557322267341","59.01555732226734","true","20260911"
"J000069","S1","S2","1","5175.965280756354","5190.680929694795","5237.180929694795","14.715648938440609","61.21564893844061","true","20260911"
"J000070","S1","S2","1","5253.469425521325","5265.347596361462","5311.847596361462","11.87817084013659","58.37817084013659","true","20260911"
"J000071","S1","S2","1","5333.468022501329","5340.014263028129","5386.514263028129","6.54624052679992","53.04624052679992","true","20260911"
"J000072","S1","S2","1","5413.185317488387","5414.680929694796","5461.180929694796","1.495612206408623","47.99561220640862","true","20260911"
"J000073","S1","S2","1","5490.99921177607","5490.99921177607","5537.49921177607","0","46.5","true","20260911"
"J000074","S1","S2","1","5561.104307512287","5565.665878442737","5612.165878442737","4.561570930450216","51.061570930450216","true","20260911"
"J000075","S1","S2","1","5639.748034095392","5640.332545109404","5686.832545109404","0.5845110140126053","47.084511014012605","true","20260911"
"J000076","S1","S2","1","5720.701876661042","5720.701876661042","5767.201876661042","0","46.5","true","20260911"
"J000077","S1","S2","1","5795.638871281408","5795.638871281408","5842.138871281408","0","46.5","true","20260911"
"J000078","S1","S2","1","5870.191413054708","5870.305537948075","5916.805537948075","0.1141248933663519","46.61412489336635","true","20260911"
"J000079","S1","S2","1","5943.590953963576","5944.972204614742","5991.472204614742","1.3812506511658285","47.88125065116583","true","20260911"
"J000080","S1","S2","1","6024.490667434875","6024.490667434875","6070.990667434875","0","46.5","true","20260911"
"J000081","S1","S2","1","6104.665747230174","6104.665747230174","6151.165747230174","0","46.5","true","20260911"
"J000082","S1","S2","1","6177.261151653947","6179.332413896841","6225.832413896841","2.071262242893681","48.57126224289368","true","20260911"
"J000083","S1","S2","1","6255.810969534796","6255.810969534796","6302.310969534796","0","46.5","true","20260911"
"J000084","S1","S2","1","6337.7955663367175","6337.7955663367175","6384.2955663367175","0","46.5","true","20260911"
"J000085","S1","S2","1","6418.62746255938","6418.62746255938","6465.12746255938","0","46.5","true","20260911"
"J000086","S1","S2","1","6493.380156182684","6493.380156182684","6539.880156182684","0","46.5","true","20260911"
"J000087","S1","S2","1","6563.430782791693","6568.046822849351","6614.546822849351","4.616040057658211","51.11604005765821","true","20260911"
"J000088","S1","S2","1","6640.11328053195","6642.713489516018","6689.213489516018","2.600208984067649","49.10020898406765","true","20260911"
"J000089","S1","S2","1","6722.124359069858","6722.124359069858","6768.624359069858","0","46.5","true","20260911"
"J000090","S1","S2","1","6791.07886011363","6796.791025736525","6843.291025736525","5.712165622894645","52.212165622894645","true","20260911"
"J000091","S1","S2","1","6860.013432704145","6871.457692403192","6917.957692403192","11.444259699046597","57.9442596990466","true","20260911"
"J000092","S1","S2","1","6938.812260426348","6946.124359069859","6992.624359069859","7.312098643510581","53.81209864351058","true","20260911"
"J000093","S1","S2","1","7008.518085581018","7020.791025736526","7067.291025736526","12.272940155507968","58.77294015550797","true","20260911"
"J000094","S1","S2","1","7077.127047374379","7095.457692403193","7141.957692403193","18.330645028813706","64.8306450288137","true","20260911"
"J000095","S1","S2","1","7147.437440872891","7170.12435906986","7216.62435906986","22.68691819696869","69.18691819696869","true","20260911"
"J000096","S1","S2","1","7229.903941514203","7244.7910257365265","7291.2910257365265","14.88708422232321","61.38708422232321","true","20260911"
"J000097","S1","S2","1","7301.812080927193","7319.4576924031935","7365.9576924031935","17.64561147600034","64.14561147600034","true","20260911"
"J000098","S1","S2","1","7375.686778788222","7394.1243590698605","7440.6243590698605","18.437580281638475","64.93758028163847","true","20260911"
"J000099","S1","S2","1","7454.743036895525","7468.791025736527","7515.291025736527","14.047988841002734","60.547988841002734","true","20260911"
"J000100","S1","S2","1","7531.094664138509","7543.457692403194","7589.957692403194","12.363028264685454","58.863028264685454","true","20260911"
"J000101","S1","S2","1","7598.676761810202","7618.124359069861","7664.624359069861","19.447597259659233","65.94759725965923","true","20260911"
"J000102","S1","S2","1","7667.2713626828045","7692.791025736528","7739.291025736528","25.51966305372389","72.01966305372389","true","20260911"
