"job_id","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed"
"in-22","in","1796.376132180116","1839.5645819141394","1876.731248580806","43.18844973402338","80.35511640069012","in","true","20260909"
"in-23","in","1873.8007435734783","1876.731248580806","1935.5645819141396","2.930505007327838","61.76383834066132","in","true","20260909"
"out-23","out","1877.0283758041578","1935.5645819141396","1982.5645819141396","58.53620610998178","105.53620610998178","out","true","20260909"
"in-24","in","1952.3725335552756","1982.5645819141396","2011.5645819141396","30.192048358863985","59.192048358863985","dc","true","20260909"
"out-24","out","1959.794101716418","1982.5645819141396","2056.231248580806","22.770480197721554","96.43714686438807","dc","true","20260909"
"in-25","in","2041.7742392700166","2056.231248580806","2093.3979152474726","14.457009310789545","51.62367597745606","dc","true","20260909"
"out-25","out","2052.4302450327996","2056.231248580806","2135.5573321095235","3.80100354800652","83.12708707672391","dc","true","20260909"
"in-26","in","2133.5246772279165","2135.5573321095235","2170.5573321095235","2.032654881606959","37.03265488160696","dc","true","20260909"
"out-26","out","2132.2802993362498","2135.5573321095235","2211.0573321095235","3.2770327732737314","78.77703277327373","dc","true","20260909"
"out-27","out","2223.2164467924404","2223.2164467924404","2274.7164467924404","0","51.5","out","true","20260909"
"in-27","in","2224.9856252050295","2274.7164467924404","2297.697909182645","49.7308215874109","72.7122839776157","in","true","20260909"
"in-28","in","2308.2312422950886","2308.2312422950886","2349.546038018627","0","41.31479572353828","in","true","20260909"
"out-28","out","2315.8000680298674","2349.546038018627","2396.678494121007","33.7459699887595","80.87842609113977","out","true","20260909"
"in-29","in","2387.826792142753","2396.678494121007","2425.678494121007","8.851701978253914","37.851701978253914","in","true","20260909"
"out-29","out","2404.4290015553784","2425.678494121007","2471.3451607876736","21.24949256562877","66.91615923229529","out","true","20260909"
"in-30","in","2466.4343985835358","2471.3451607876736","2507.8451607876736","4.910762204137882","41.41076220413788","in","true","20260909"
"out-30","out","2498.1474980006788","2507.8451607876736","2548.9278530574306","9.697662786994897","50.78035505675189","out","true","20260909"
"in-31","in","2553.550684249827","2553.550684249827","2582.7173509164936","0","29.166666666666515","in","true","20260909"
"out-31","out","2590.914752311738","2590.914752311738","2646.0814189784046","0","55.166666666666515","out","true","20260909"
"in-32","in","2647.1078591461164","2647.1078591461164","2682.1078591461164","0","35","in","true","20260909"
"out-32","out","2673.338752885216","2682.1078591461164","2735.274525812783","8.769106260900571","61.935772927567086","out","true","20260909"
"in-33","in","2730.6196043600467","2735.274525812783","2772.4411924794495","4.654921452736289","41.821588119402804","in","true","20260909"
"out-33","out","2757.48250260683","2772.4411924794495","2816.774525812783","14.958689872619289","59.29202320595277","out","true","20260909"
"in-34","in","2810.0713762813916","2816.774525812783","2851.774525812783","6.703149531391318","41.70314953139132","in","true","20260909"
"out-34","out","2844.8581460903265","2851.774525812783","2897.4411924794495","6.9163797224564405","52.583046389122956","out","true","20260909"
"in-35","in","2888.020615476583","2897.4411924794495","2931.274525812783","9.420577002866594","43.25391033620008","in","true","20260909"
"out-35","out","2924.3167533499322","2931.274525812783","2973.6078591461164","6.9577724628506985","49.29110579618418","out","true","20260909"
"in-36","in","2970.5824934757716","2973.6078591461164","3002.1078591461164","3.025365670344854","31.525365670344854","in","true","20260909"
"out-36","out","3016.127282484834","3016.127282484834","3061.627282484834","0","45.5","out","true","20260909"
"in-37","in","3063.0058245653554","3063.0058245653554","3088.839157898689","0","25.833333333333485","in","true","20260909"
"out-37","out","3096.2754117857135","3096.2754117857135","3144.108745119047","0","47.833333333333485","out","true","20260909"
"in-38","in","3141.748975859955","3144.108745119047","3174.608745119047","2.3597692590919905","32.85976925909199","in","true","20260909"
"out-38","out","3185.070928532098","3185.070928532098","3222.070928532098","0","37","out","true","20260909"
"in-39","in","3231.6442913176224","3231.6442913176224","3260.6442913176224","0","29","in","true","20260909"
"out-39","out","3263.558452191896","3263.558452191896","3300.558452191896","0","37","out","true","20260909"
"in-40","in","3321.918208895783","3321.918208895783","3354.918208895783","0","33","in","true","20260909"
"out-40","out","3344.7165435246593","3354.918208895783","3392.5848755624497","10.201665371123909","47.868332037790424","out","true","20260909"
"in-41","in","3410.16374461885","3410.16374461885","3437.16374461885","0","27","in","true","20260909"
"out-41","out","3428.421006693638","3437.16374461885","3492.9970779521836","8.742737925212168","64.57607125854565","out","true","20260909"
"in-42","in","3492.624073725726","3492.9970779521836","3525.4970779521836","0.3730042264578515","32.87300422645785","in","true","20260909"
"out-42","out","3518.7959434078743","3525.4970779521836","3563.9276236294345","6.701134544309298","45.131680221560146","out","true","20260909"
"in-43","in","3573.9501059081936","3573.9501059081936","3607.11677257486","0","33.166666666666515","in","true","20260909"
"out-43","out","3607.370966970921","3607.370966970921","3646.5376336375875","0","39.166666666666515","out","true","20260909"
"in-44","in","3653.0572191319825","3653.0572191319825","3684.223885798649","0","31.166666666666515","in","true","20260909"
"out-44","out","3692.0447277636936","3692.0447277636936","3741.5447277636936","0","49.5","out","true","20260909"
"in-45","in","3738.579417749175","3741.5447277636936","3776.5447277636936","2.9653100145187636","37.965310014518764","in","true","20260909"
"out-45","out","3776.300157755614","3776.5447277636936","3817.4255592833406","0.24457000807979057","41.12540152772681","out","true","20260909"
"in-46","in","3816.315041152494","3817.4255592833406","3851.9255592833406","1.1105181308466854","35.610518130846685","in","true","20260909"
"out-46","out","3866.637562802062","3866.637562802062","3918.137562802062","0","51.5","out","true","20260909"
"in-47","in","3897.614413306915","3918.137562802062","3951.137562802062","20.523149495146754","53.523149495146754","in","true","20260909"
"out-47","out","3952.5740108319696","3952.5740108319696","3996.907344165303","0","44.333333333333485","out","true","20260909"
"in-48","in","3988.677577253963","3996.907344165303","4031.907344165303","8.229766911339993","43.22976691133999","in","true","20260909"
